ENSEMBL	idx	TX_LENGTH
ENSG00000235495.1	109	167
ENSG00000287514.2	110	5666
ENSG00000232046.7	111	3913
ENSG00000173157.17	112	7524
ENSG00000152104.12	113	18752
ENSG00000122641.11	114	8284
ENSG00000086570.12	115	14537
ENSG00000287520.1	116	4242
ENSG00000081138.14	117	14528
ENSG00000269954.2	118	2594
ENSG00000231031.6	119	2223
ENSG00000091592.16	120	10739
ENSG00000003137.8	121	5015
ENSG00000144644.14	122	7330
ENSG00000138639.18	123	7870
ENSG00000237179.6	124	1883
ENSG00000260126.2	125	1014
ENSG00000170561.13	126	3399
ENSG00000197415.12	127	6543
ENSG00000231061.1	128	669
ENSG00000166926.8	129	1057
ENSG00000227674.3	130	2811
ENSG00000266952.2	131	3153
ENSG00000110975.8	132	5082
ENSG00000225546.6	133	2682
ENSG00000266602.2	134	9176
ENSG00000144229.12	135	6762
ENSG00000144366.16	136	11979
ENSG00000274317.2	137	6465
ENSG00000107736.21	138	18601
ENSG00000138653.10	139	3719
ENSG00000124302.13	140	3054
ENSG00000198353.8	141	2767
ENSG00000287139.1	142	1811
ENSG00000248300.1	143	657
ENSG00000248118.2	144	3816
ENSG00000170421.12	145	6881
ENSG00000111057.11	146	3069
ENSG00000232849.2	147	616
ENSG00000269964.3	148	5290
ENSG00000288001.1	149	2842
ENSG00000283235.2	150	3019
ENSG00000187546.14	151	3588
ENSG00000287290.1	152	2842
ENSG00000286637.1	153	3352
ENSG00000186493.13	154	1925
ENSG00000170549.4	155	2080
ENSG00000186583.12	156	2170
ENSG00000280809.4	157	9650
ENSG00000129451.12	158	3798
ENSG00000102890.16	159	2575
ENSG00000185522.9	160	2898
ENSG00000135549.15	161	3432
ENSG00000137878.17	162	5525
ENSG00000125492.10	163	1906
ENSG00000176387.7	164	2670
ENSG00000185112.6	165	3155
ENSG00000240666.2	166	828
ENSG00000248307.6	167	6177
ENSG00000248461.3	168	4719
ENSG00000145451.13	169	9526
ENSG00000139865.16	170	8361
ENSG00000250049.7	171	7430
ENSG00000108001.15	172	5450
ENSG00000124818.15	173	5084
ENSG00000233080.3	174	806
ENSG00000125798.14	175	2603
ENSG00000231772.5	176	1308
ENSG00000232451.2	177	1765
ENSG00000237807.4	178	7527
ENSG00000170745.12	179	3128
ENSG00000253591.2	180	1771
ENSG00000174792.11	181	2040
ENSG00000163623.9	182	3086
ENSG00000248927.1	183	1114
ENSG00000100285.10	184	3795
ENSG00000235984.5	185	461
ENSG00000164111.15	186	2925
ENSG00000287881.1	187	3223
ENSG00000197747.9	188	1012
ENSG00000151388.11	189	9605
ENSG00000173267.14	190	1264
ENSG00000223351.5	191	648
ENSG00000248515.2	192	4694
ENSG00000248485.2	193	1406
ENSG00000160180.15	194	1168
ENSG00000285367.1	195	8149
ENSG00000146242.9	196	3481
ENSG00000168143.9	197	6244
ENSG00000244694.7	198	5177
ENSG00000205002.4	199	2404
ENSG00000165863.17	200	2411
ENSG00000271395.2	201	2272
ENSG00000250682.6	202	2805
ENSG00000249345.8	203	7796
ENSG00000244757.1	204	728
ENSG00000151790.9	205	5264
ENSG00000285595.1	206	2037
ENSG00000235497.5	207	751
ENSG00000254138.1	208	381
ENSG00000233417.2	209	704
ENSG00000277987.2	210	2313
ENSG00000250007.7	211	4715
ENSG00000106066.15	212	3336
ENSG00000244198.7	213	9504
ENSG00000254302.2	214	1446
ENSG00000259283.2	215	763
ENSG00000259849.2	216	4380
ENSG00000261727.2	217	715
ENSG00000250284.3	218	2605
ENSG00000064655.19	219	3618
ENSG00000286404.1	220	1437
ENSG00000240875.6	221	3961
ENSG00000226239.2	222	6213
ENSG00000266869.2	223	2321
ENSG00000255794.9	224	10231
ENSG00000181392.17	225	2548
ENSG00000234948.2	226	15128
ENSG00000167749.11	227	1935
ENSG00000270321.2	228	2338
ENSG00000161958.11	229	5080
ENSG00000143858.12	230	7811
ENSG00000241749.4	231	2035
ENSG00000151812.15	232	4272
ENSG00000259437.1	233	423
ENSG00000227712.2	234	2921
ENSG00000130147.16	235	7085
ENSG00000233673.7	236	2145
ENSG00000150051.14	237	4107
ENSG00000137460.8	238	6593
ENSG00000197301.7	239	6033
ENSG00000257943.2	240	3173
ENSG00000268153.5	241	1835
ENSG00000285633.1	242	4532
ENSG00000183853.18	243	7872
ENSG00000237735.2	244	438
ENSG00000188611.15	245	7276
ENSG00000197588.9	246	1912
ENSG00000120337.8	247	2008
ENSG00000122025.15	248	4159
ENSG00000254033.1	249	430
ENSG00000132854.19	250	6814
ENSG00000229051.2	251	2455
ENSG00000214922.9	252	4179
ENSG00000256870.3	253	4009
ENSG00000253642.6	254	2720
ENSG00000105198.11	255	709
ENSG00000232294.6	256	3293
ENSG00000268555.2	257	2262
ENSG00000234546.4	258	2141
ENSG00000228526.7	259	8702
ENSG00000119283.15	260	9326
ENSG00000202515.1	261	89
ENSG00000119681.12	262	9078
ENSG00000279249.3	263	27803
ENSG00000185038.14	264	5730
ENSG00000272180.1	265	1275
ENSG00000154274.15	266	4470
ENSG00000257986.3	267	3591
ENSG00000237612.1	268	569
ENSG00000232886.1	269	377
ENSG00000234261.4	270	3654
ENSG00000253108.1	271	582
ENSG00000187098.16	272	7269
ENSG00000258551.6	273	3401
ENSG00000253100.2	274	3876
ENSG00000253308.2	275	757
ENSG00000248528.1	276	707
ENSG00000187398.12	277	8858
ENSG00000231680.1	278	985
ENSG00000170044.8	279	5130
ENSG00000288105.1	280	2066
ENSG00000261260.2	281	1676
ENSG00000237058.1	282	373
ENSG00000250981.1	283	708
ENSG00000204110.6	284	537
ENSG00000225542.2	285	928
ENSG00000259203.2	286	3179
ENSG00000286963.1	287	733
ENSG00000253690.1	288	887
ENSG00000261348.2	289	1211
ENSG00000285780.2	290	966
ENSG00000168938.6	291	2082
ENSG00000114805.18	292	7177
ENSG00000169856.9	293	6110
ENSG00000232287.2	294	584
ENSG00000197585.10	295	1287
ENSG00000103742.12	296	7619
ENSG00000225329.3	297	2375
ENSG00000287097.1	298	896
ENSG00000224968.2	299	2026
ENSG00000250039.4	300	4390
ENSG00000250546.6	301	4971
ENSG00000135269.18	302	4267
ENSG00000026559.14	303	5415
ENSG00000131094.4	304	1527
ENSG00000261594.4	305	2931
ENSG00000236948.2	306	1095
ENSG00000226363.3	307	1121
ENSG00000175894.18	308	4462
ENSG00000110900.16	309	7116
ENSG00000152192.8	310	4539
ENSG00000198054.12	311	831
ENSG00000225930.4	312	5281
ENSG00000248491.6	313	2649
ENSG00000107438.9	314	2227
ENSG00000147571.5	315	1288
ENSG00000250945.1	316	648
ENSG00000166016.6	317	4976
ENSG00000164434.12	318	2487
ENSG00000151615.3	319	3144
ENSG00000112319.19	320	8976
ENSG00000151789.12	321	13400
ENSG00000128652.11	322	3548
ENSG00000111907.21	323	7595
ENSG00000120659.15	324	2734
ENSG00000053747.16	325	14678
ENSG00000183580.10	326	4870
ENSG00000180269.8	327	4931
ENSG00000187140.6	328	2562
ENSG00000153790.12	329	3842
ENSG00000112655.16	330	8985
ENSG00000215357.2	331	1658
ENSG00000230798.5	332	1208
ENSG00000089116.4	333	3063
ENSG00000124813.23	334	8192
ENSG00000225427.2	335	1822
ENSG00000159248.5	336	2922
ENSG00000163638.13	337	10680
ENSG00000280989.2	338	1232
ENSG00000286147.1	339	4893
ENSG00000257935.2	340	522
ENSG00000133962.8	341	5635
ENSG00000250250.2	342	1262
ENSG00000162624.14	343	3977
ENSG00000016082.15	344	2817
ENSG00000145248.7	345	2551
ENSG00000288057.1	346	2858
ENSG00000280870.3	347	4172
ENSG00000175785.13	348	3896
ENSG00000175697.10	349	6058
ENSG00000176571.12	350	2611
ENSG00000241490.1	351	3101
ENSG00000095596.12	352	2964
ENSG00000004848.8	353	3114
ENSG00000187634.12	354	4173
ENSG00000267401.2	355	995
ENSG00000282142.2	356	1473
ENSG00000253503.6	357	1660
ENSG00000204060.7	358	2398
ENSG00000166603.5	359	1714
ENSG00000160224.17	360	4678
ENSG00000259663.2	361	7152
ENSG00000128510.12	362	3958
ENSG00000087085.15	363	4074
ENSG00000164220.7	364	3408
ENSG00000259363.6	365	7716
ENSG00000117602.12	366	7138
ENSG00000162998.5	367	2637
ENSG00000179520.11	368	4273
ENSG00000286973.1	369	778
ENSG00000164756.12	370	6279
ENSG00000135218.19	371	10880
ENSG00000145794.17	372	9042
ENSG00000164136.17	373	7876
ENSG00000171551.12	374	2978
ENSG00000196119.8	375	6088
ENSG00000070748.19	376	6588
ENSG00000283692.2	377	2417
ENSG00000115353.11	378	5128
ENSG00000069018.19	379	3768
ENSG00000153820.13	380	7046
ENSG00000156925.12	381	4668
ENSG00000121297.8	382	8280
ENSG00000027644.5	383	5200
ENSG00000218351.2	384	854
ENSG00000198400.12	385	5205
ENSG00000225127.3	386	2412
ENSG00000261213.1	387	1410
ENSG00000286447.1	388	3247
ENSG00000287277.1	389	14029
ENSG00000206384.10	390	9720
ENSG00000178343.5	391	2322
ENSG00000119973.6	392	5506
ENSG00000188883.5	393	2158
ENSG00000135577.4	394	1576
ENSG00000172554.12	395	4488
ENSG00000285681.2	396	2316
ENSG00000115665.9	397	5168
ENSG00000224127.1	398	670
ENSG00000166002.7	399	1106
ENSG00000171444.18	400	10739
ENSG00000235688.2	401	539
ENSG00000181072.11	402	8322
ENSG00000139292.13	403	5223
ENSG00000188334.3	404	654
ENSG00000224958.6	405	2355
ENSG00000165078.13	406	2887
ENSG00000178602.8	407	645
ENSG00000123094.15	408	7619
ENSG00000171631.15	409	3304
ENSG00000256732.1	410	1192
ENSG00000255998.2	411	2131
ENSG00000145888.11	412	2443
ENSG00000283544.1	413	838
ENSG00000164900.4	414	1467
ENSG00000114270.17	415	11071
ENSG00000188916.9	416	4840
ENSG00000169213.7	417	12780
ENSG00000070193.5	418	6399
ENSG00000248464.1	419	1894
ENSG00000230258.6	420	1100
ENSG00000237560.7	421	2673
ENSG00000115507.10	422	4833
ENSG00000125285.6	423	2924
ENSG00000095752.7	424	2678
ENSG00000231666.7	425	2071
ENSG00000259974.3	426	5557
ENSG00000227090.1	427	540
ENSG00000230379.5	428	614
ENSG00000188293.6	429	779
ENSG00000226983.3	430	3782
ENSG00000170323.9	431	1369
ENSG00000254968.7	432	3031
ENSG00000173917.10	433	2336
ENSG00000260027.5	434	1520
ENSG00000126709.15	435	842
ENSG00000164438.6	436	1534
ENSG00000120068.7	437	2404
ENSG00000224865.8	438	2076
ENSG00000235537.3	439	1873
ENSG00000182759.4	440	2826
ENSG00000138136.6	441	2900
ENSG00000054938.16	442	3176
ENSG00000165606.8	443	2890
ENSG00000285695.1	444	2178
ENSG00000112246.10	445	9272
ENSG00000228082.1	446	380
ENSG00000285744.1	447	2921
ENSG00000235743.2	448	581
ENSG00000069206.15	449	4483
ENSG00000173452.14	450	4274
ENSG00000255595.5	451	6431
ENSG00000168348.4	452	2891
ENSG00000133863.9	453	11869
ENSG00000258144.2	454	1368
ENSG00000123700.5	455	5576
ENSG00000148680.16	456	3472
ENSG00000153822.13	457	6340
ENSG00000279658.1	458	646
ENSG00000258913.2	459	2349
ENSG00000283098.2	460	2073
ENSG00000253879.2	461	1737
ENSG00000287878.1	462	2106
ENSG00000229205.5	463	5823
ENSG00000283453.2	464	3018
ENSG00000214043.8	465	6453
ENSG00000253260.2	466	1069
ENSG00000091656.19	467	15851
ENSG00000049323.16	468	7348
ENSG00000270114.1	469	698
ENSG00000205696.4	470	1125
ENSG00000227400.2	471	856
ENSG00000166510.14	472	5133
ENSG00000227708.1	473	357
ENSG00000228714.4	474	2988
ENSG00000253608.2	475	2754
ENSG00000254343.2	476	752
ENSG00000167306.20	477	10566
ENSG00000250643.1	478	466
ENSG00000116117.18	479	10700
ENSG00000171956.7	480	3606
ENSG00000256463.8	481	7397
ENSG00000163873.10	482	10497
ENSG00000164690.8	483	5234
ENSG00000147036.12	484	10298
ENSG00000080200.10	485	10979
ENSG00000164761.9	486	2512
ENSG00000247134.7	487	1791
ENSG00000231674.1	488	2018
ENSG00000165072.10	489	3589
ENSG00000250103.2	490	832
ENSG00000277268.2	491	3615
ENSG00000185133.14	492	4823
ENSG00000118257.16	493	13896
ENSG00000260848.2	494	2593
ENSG00000285876.1	495	2240
ENSG00000113361.13	496	12443
ENSG00000237843.2	497	897
ENSG00000151577.13	498	3173
ENSG00000137628.17	499	6746
ENSG00000228252.9	500	3928
ENSG00000181381.13	501	12156
ENSG00000240086.7	502	9663
ENSG00000144681.10	503	4396
ENSG00000143127.13	504	6242
ENSG00000286174.1	505	1240
ENSG00000235904.3	506	5919
ENSG00000181649.8	507	920
ENSG00000250488.2	508	1072
ENSG00000164093.17	509	5787
ENSG00000203506.5	510	2303
ENSG00000287798.1	511	1689
ENSG00000238246.1	512	499
ENSG00000276778.1	513	3748
ENSG00000261227.2	514	1141
ENSG00000170231.16	515	1088
ENSG00000236256.9	516	2309
ENSG00000237654.6	517	4856
ENSG00000170820.12	518	3160
ENSG00000287339.1	519	718
ENSG00000282890.1	520	2698
ENSG00000263146.2	521	1732
ENSG00000141433.13	522	3877
ENSG00000285980.2	523	4940
ENSG00000181847.12	524	6091
ENSG00000183844.17	525	3828
ENSG00000151491.14	526	8540
ENSG00000254135.3	527	2399
ENSG00000254350.1	528	706
ENSG00000221818.9	529	7098
ENSG00000144191.12	530	4343
ENSG00000165370.3	531	8032
ENSG00000223561.7	532	7296
ENSG00000233699.2	533	1642
ENSG00000230148.8	534	1559
ENSG00000171540.8	535	3476
ENSG00000074047.22	536	7720
ENSG00000126733.21	537	7046
ENSG00000285741.1	538	1564
ENSG00000165409.17	539	9909
ENSG00000267042.1	540	542
ENSG00000288611.1	541	4209
ENSG00000188175.10	542	2480
ENSG00000258131.1	543	573
ENSG00000175302.5	544	2186
ENSG00000009709.12	545	6473
ENSG00000286103.1	546	869
ENSG00000080293.10	547	3415
ENSG00000139219.19	548	6662
ENSG00000119614.3	549	3018
ENSG00000171136.7	550	1201
ENSG00000179348.12	551	4475
ENSG00000197696.10	552	1022
ENSG00000235122.4	553	1293
ENSG00000265766.3	554	1955
ENSG00000226846.2	555	1783
ENSG00000134363.12	556	2752
ENSG00000259275.4	557	7083
ENSG00000106565.18	558	1979
ENSG00000008197.5	559	2203
ENSG00000231405.1	560	473
ENSG00000182177.14	561	5554
ENSG00000142046.15	562	2487
ENSG00000242536.2	563	1805
ENSG00000183979.8	564	2161
ENSG00000142538.2	565	454
ENSG00000178248.11	566	1578
ENSG00000110680.12	567	2128
ENSG00000175868.14	568	3938
ENSG00000214285.3	569	1231
ENSG00000113430.10	570	2974
ENSG00000181541.6	571	2543
ENSG00000061455.11	572	9230
ENSG00000186897.5	573	2073
ENSG00000124249.7	574	2514
ENSG00000106038.13	575	3358
ENSG00000250850.2	576	739
ENSG00000174279.4	577	4203
ENSG00000160471.13	578	3720
ENSG00000196092.14	579	9570
ENSG00000133636.11	580	1555
ENSG00000159263.16	581	7670
ENSG00000263635.1	582	467
ENSG00000266554.2	583	2842
ENSG00000243004.6	584	3109
ENSG00000159387.8	585	2952
ENSG00000259711.1	586	359
ENSG00000260220.7	587	11626
ENSG00000245694.10	588	14708
ENSG00000280081.4	589	4169
ENSG00000177508.12	590	2935
ENSG00000286357.1	591	375
ENSG00000108576.10	592	6983
ENSG00000132437.18	593	3084
ENSG00000169302.16	594	7916
ENSG00000107485.18	595	3396
ENSG00000137880.6	596	1481
ENSG00000264125.1	597	697
ENSG00000136944.19	598	6345
ENSG00000258115.1	599	819
ENSG00000266120.1	600	224
ENSG00000261083.3	601	2610
ENSG00000197308.9	602	2372
ENSG00000236635.3	603	1415
ENSG00000108828.16	604	3466
ENSG00000131979.20	605	2925
ENSG00000253661.2	606	10469
ENSG00000243861.1	607	279
ENSG00000163499.12	608	1455
ENSG00000121764.11	609	2558
ENSG00000241383.2	610	1059
ENSG00000139287.13	611	6929
ENSG00000163497.3	612	1576
ENSG00000224842.2	613	943
ENSG00000134443.10	614	861
ENSG00000230223.7	615	4208
ENSG00000125355.15	616	3858
ENSG00000142319.18	617	4467
ENSG00000180176.15	618	3181
ENSG00000057704.13	619	6512
ENSG00000253369.2	620	3360
ENSG00000165731.20	621	6874
ENSG00000226383.7	622	2716
ENSG00000258077.2	623	1385
ENSG00000184486.10	624	4885
ENSG00000282440.1	625	679
ENSG00000150361.12	626	4149
ENSG00000163380.16	627	5083
ENSG00000163064.7	628	2856
ENSG00000036565.15	629	3910
ENSG00000163394.6	630	1746
ENSG00000258910.3	631	1110
ENSG00000129514.8	632	4414
ENSG00000005981.13	633	4606
ENSG00000107859.10	634	1429
ENSG00000101188.5	635	4238
ENSG00000227303.1	636	623
ENSG00000223838.2	637	1539
ENSG00000065320.9	638	6415
ENSG00000166148.4	639	6222
ENSG00000249867.6	640	2830
ENSG00000274588.2	641	7494
ENSG00000136931.10	642	3412
ENSG00000128610.12	643	2942
ENSG00000104953.20	644	3555
ENSG00000169297.8	645	1995
ENSG00000283071.1	646	732
ENSG00000276476.3	647	3099
ENSG00000230316.7	648	3355
ENSG00000100557.10	649	4108
ENSG00000147256.12	650	3071
ENSG00000248646.1	651	473
ENSG00000260548.1	652	563
ENSG00000133124.11	653	3928
ENSG00000232258.6	654	1419
ENSG00000261175.6	655	5840
ENSG00000173805.16	656	6223
ENSG00000224109.3	657	1945
ENSG00000048545.15	658	1763
ENSG00000233358.2	659	871
ENSG00000162595.7	660	2049
ENSG00000105954.2	661	1190
ENSG00000134602.16	662	3317
ENSG00000102239.5	663	2773
ENSG00000137869.15	664	8428
ENSG00000165349.12	665	2268
ENSG00000169840.5	666	1823
ENSG00000179008.9	667	3431
ENSG00000118702.9	668	570
ENSG00000185559.16	669	5247
ENSG00000184302.7	670	2592
ENSG00000147255.19	671	7573
ENSG00000159723.5	672	498
ENSG00000248627.1	673	349
ENSG00000165325.13	674	4227
ENSG00000261268.1	675	1098
ENSG00000183395.5	676	754
ENSG00000134595.9	677	2085
ENSG00000136698.10	678	1672
ENSG00000069482.7	679	1300
ENSG00000188816.3	680	1628
ENSG00000161055.4	681	803
ENSG00000188620.11	682	2847
ENSG00000274391.4	683	2596
ENSG00000167311.14	684	1497
ENSG00000223770.5	685	2651
ENSG00000225280.7	686	1358
ENSG00000233985.2	687	2796
ENSG00000203740.4	688	2322
ENSG00000174970.5	689	2814
ENSG00000228659.1	690	561
ENSG00000226702.1	691	900
ENSG00000204640.1	692	485
ENSG00000205922.5	693	7185
ENSG00000237552.1	694	448
ENSG00000259436.1	695	1955
ENSG00000241792.1	696	492
ENSG00000130711.5	697	2481
ENSG00000112782.19	698	10432
ENSG00000246876.7	699	4048
ENSG00000162344.4	700	1821
ENSG00000287076.1	701	2626
ENSG00000116183.11	702	10926
ENSG00000087510.7	703	3001
ENSG00000139574.8	704	592
ENSG00000187871.2	705	1911
ENSG00000131435.13	706	3167
ENSG00000123454.12	707	2746
ENSG00000250654.7	708	1390
ENSG00000234511.10	709	3184
ENSG00000104237.11	710	15703
ENSG00000165462.5	711	1784
ENSG00000105825.14	712	2444
ENSG00000071677.1	713	264
ENSG00000245870.4	714	3206
ENSG00000249745.1	715	552
ENSG00000109132.7	716	2847
ENSG00000233429.9	717	1496
ENSG00000168268.11	718	4799
ENSG00000143125.6	719	1393
ENSG00000250467.1	720	907
ENSG00000237271.2	721	1069
ENSG00000103546.18	722	5463
ENSG00000283267.1	723	3877
ENSG00000148513.18	724	5078
ENSG00000224920.1	725	1454
ENSG00000253552.8	726	5431
ENSG00000188828.12	727	7962
ENSG00000125618.17	728	7371
ENSG00000183625.15	729	3568
ENSG00000105997.22	730	4306
ENSG00000163273.4	731	1075
ENSG00000225988.1	732	1928
ENSG00000101327.9	733	3524
ENSG00000168081.9	734	1990
ENSG00000120093.11	735	7456
ENSG00000233101.10	736	1913
ENSG00000288003.1	737	708
ENSG00000109991.9	738	4432
ENSG00000226868.1	739	174
ENSG00000132958.17	740	2287
ENSG00000258847.1	741	773
ENSG00000171786.6	742	2557
ENSG00000172568.5	743	2243
ENSG00000163145.13	744	5340
ENSG00000250740.1	745	584
ENSG00000082175.15	746	14693
ENSG00000076770.14	747	12199
ENSG00000259658.5	748	970
ENSG00000182636.8	749	1906
ENSG00000287394.1	750	674
ENSG00000248475.5	751	697
ENSG00000228048.1	752	436
ENSG00000242265.5	753	6689
ENSG00000232072.1	754	661
ENSG00000182183.15	755	2684
ENSG00000225110.3	756	3294
ENSG00000170498.9	757	714
ENSG00000235298.1	758	390
ENSG00000175664.10	759	1705
ENSG00000233539.5	760	2791
ENSG00000091831.24	761	13726
ENSG00000102287.19	762	9612
ENSG00000116833.14	763	7543
ENSG00000101958.14	764	3705
ENSG00000203995.10	765	4694
ENSG00000267924.1	766	2291
ENSG00000147231.14	767	4850
ENSG00000223749.11	768	3003
ENSG00000135111.16	769	5960
ENSG00000169083.18	770	12818
ENSG00000206538.9	771	12740
ENSG00000004948.16	772	4222
ENSG00000282728.1	773	1794
ENSG00000179299.17	774	5899
ENSG00000257817.2	775	2472
ENSG00000115138.11	776	1538
ENSG00000174460.4	777	2197
ENSG00000174527.9	778	4792
ENSG00000267761.3	779	1397
ENSG00000258779.8	780	7998
ENSG00000248733.1	781	451
ENSG00000205856.4	782	2055
ENSG00000269993.1	783	470
ENSG00000112238.12	784	3232
ENSG00000101405.3	785	513
ENSG00000101200.5	786	619
ENSG00000283554.1	787	1870
ENSG00000234104.1	788	512
ENSG00000125931.11	789	1760
ENSG00000161610.1	790	577
ENSG00000174576.10	791	3428
ENSG00000175426.11	792	5357
ENSG00000170893.4	793	1592
ENSG00000222000.7	794	1164
ENSG00000156076.10	795	2107
ENSG00000261715.1	796	1226
ENSG00000287949.1	797	2932
ENSG00000101230.6	798	3090
ENSG00000162627.17	799	2067
ENSG00000280953.2	800	3190
ENSG00000182747.5	801	2343
ENSG00000123496.8	802	1626
ENSG00000288035.1	803	2055
ENSG00000145721.12	804	3996
ENSG00000260701.2	805	3381
ENSG00000140287.11	806	3895
ENSG00000122012.14	807	11817
ENSG00000183091.19	808	30567
ENSG00000234474.3	809	3565
ENSG00000140563.15	810	13237
ENSG00000198670.12	811	6436
ENSG00000128849.10	812	8663
ENSG00000147655.12	813	4355
ENSG00000150722.10	814	4887
ENSG00000140873.16	815	6598
ENSG00000165646.14	816	4125
ENSG00000157890.17	817	9828
ENSG00000205835.9	818	3962
ENSG00000231718.1	819	2296
ENSG00000205678.8	820	6023
ENSG00000147257.15	821	2870
ENSG00000249419.1	822	1105
ENSG00000162843.17	823	4939
ENSG00000287775.1	824	1124
ENSG00000188909.5	825	944
ENSG00000186867.11	826	2830
ENSG00000050730.16	827	3749
ENSG00000224747.1	828	1113
ENSG00000168843.14	829	5324
ENSG00000129757.14	830	2480
ENSG00000226053.1	831	2229
ENSG00000276386.1	832	3861
ENSG00000134207.17	833	5065
ENSG00000138772.13	834	4895
ENSG00000234840.2	835	3570
ENSG00000182508.14	836	1750
ENSG00000234653.1	837	1000
ENSG00000065675.15	838	3295
ENSG00000288560.1	839	1303
ENSG00000254303.1	840	790
ENSG00000112773.16	841	6053
ENSG00000120051.15	842	3491
ENSG00000232284.7	843	3465
ENSG00000251438.1	844	541
ENSG00000248690.8	845	5647
ENSG00000166407.14	846	1705
ENSG00000243197.8	847	3324
ENSG00000136546.16	848	9733
ENSG00000233607.1	849	565
ENSG00000077943.8	850	7320
ENSG00000138829.12	851	13218
ENSG00000187123.15	852	4973
ENSG00000156273.16	853	7666
ENSG00000250961.2	854	2287
ENSG00000115085.14	855	5095
ENSG00000174680.10	856	4605
ENSG00000165966.16	857	4872
ENSG00000082482.14	858	4294
ENSG00000113396.13	859	3133
ENSG00000232192.1	860	810
ENSG00000102935.11	861	8997
ENSG00000287144.1	862	1468
ENSG00000123901.9	863	4277
ENSG00000101974.14	864	7407
ENSG00000155011.9	865	4335
ENSG00000163251.4	866	7039
ENSG00000255929.5	867	1175
ENSG00000128573.26	868	16334
ENSG00000171195.11	869	2798
ENSG00000181234.9	870	4947
ENSG00000225128.1	871	813
ENSG00000188517.16	872	8744
ENSG00000230453.9	873	5857
ENSG00000254226.6	874	5415
ENSG00000257228.5	875	1274
ENSG00000228113.7	876	4838
ENSG00000143842.15	877	7420
ENSG00000226149.6	878	6823
ENSG00000132031.13	879	3151
ENSG00000122584.13	880	3774
ENSG00000260832.1	881	1493
