SYMBOL	ENSEMBL	seqnames	start	end	width	strand
LOC100996583	ENSG00000228037	chr1	2581560	2584533	2974	+
PRXL2B	ENSG00000157870	chr1	2586491	2591469	4979	+
MMEL1	ENSG00000142606	chr1	2590639	2633016	42378	-
	ENSG00000237058	chr1	2632568	2636620	4053	+
TTC34	ENSG00000215912	chr1	2635976	2801717	165742	-
	ENSG00000285945	chr1	2768091	2784733	16643	+
	ENSG00000283259	chr1	2773603	2776473	2871	+
	ENSG00000233234	chr1	2811850	2812692	843	-
LOC124903825	ENSG00000287396	chr1	2814056	2817767	3712	+
	ENSG00000231630	chr1	2814432	2814998	567	-
	ENSG00000284745	chr1	2960658	2968707	8050	-
ACTRT2	ENSG00000169717	chr1	3021467	3022903	1437	+
PRDM16-DT	ENSG00000177133	chr1	3059615	3068437	8823	-
PRDM16	ENSG00000142611	chr1	3069168	3438621	369454	+
	ENSG00000226286	chr1	3132927	3133709	783	-
	ENSG00000272235	chr1	3306636	3310096	3461	-
	ENSG00000287828	chr1	3313052	3323149	10098	-
	ENSG00000286518	chr1	3367815	3373928	6114	-
ARHGEF16	ENSG00000130762	chr1	3454665	3481113	26449	+
	ENSG00000272088	chr1	3487246	3487627	382	+
MEGF6	ENSG00000162591	chr1	3487951	3611508	123558	-
	ENSG00000238260	chr1	3623190	3624743	1554	-
TPRG1L	ENSG00000158109	chr1	3625015	3630127	5113	+
WRAP73	ENSG00000116213	chr1	3630767	3652761	21995	-
TP73	ENSG00000078900	chr1	3652516	3736201	83686	+
	ENSG00000227589	chr1	3658938	3668772	9835	-
	ENSG00000235131	chr1	3712200	3714298	2099	-
CCDC27	ENSG00000162592	chr1	3746460	3771645	25186	+
SMIM1	ENSG00000235169	chr1	3772761	3775982	3222	+
LRRC47	ENSG00000130764	chr1	3778559	3796498	17940	-
	ENSG00000272153	chr1	3785008	3785538	531	+
CEP104	ENSG00000116198	chr1	3812086	3857214	45129	-
DFFB	ENSG00000169598	chr1	3857267	3885429	28163	+
C1orf174	ENSG00000198912	chr1	3889125	3900293	11169	-
LINC01134	ENSG00000236423	chr1	3900352	3917225	16874	+
	ENSG00000233304	chr1	3940486	3955262	14777	+
LINC01345	ENSG00000226374	chr1	3944547	3949024	4478	-
LINC02780	ENSG00000284668	chr1	3976133	4012704	36572	+
	ENSG00000284703	chr1	4012921	4019508	6588	-
LINC01777	ENSG00000235054	chr1	4412027	4424689	12663	+
	ENSG00000284694	chr1	4479131	4484375	5245	-
	ENSG00000227169	chr1	4551735	4552145	411	-
LINC01646	ENSG00000232596	chr1	4571481	4594016	22536	+
AJAP1	ENSG00000196581	chr1	4654609	4792534	137926	+
	ENSG00000287586	chr1	4730211	4734992	4782	-
	ENSG00000284739	chr1	4963954	4973298	9345	-
LINC02781	ENSG00000284674	chr1	4973381	4981568	8188	+
	ENSG00000231510	chr1	5086459	5090899	4441	-
	ENSG00000284616	chr1	5301928	5307394	5467	-
	ENSG00000284692	chr1	5478736	5493057	14322	-
	ENSG00000284666	chr1	5480787	5482028	1242	-
	ENSG00000260972	chr1	5492978	5494674	1697	+
	ENSG00000236948	chr1	5561709	5668295	106587	-
NPHP4	ENSG00000131697	chr1	5862811	5992473	129663	-
KCNAB2	ENSG00000069424	chr1	5990927	6101193	110267	+
CHD5	ENSG00000116254	chr1	6101787	6180321	78535	-
RPL22	ENSG00000116251	chr1	6185020	6209389	24370	-
RNF207-AS1	ENSG00000226944	chr1	6204840	6205780	941	-
RNF207	ENSG00000158286	chr1	6205475	6221299	15825	+
ICMT	ENSG00000116237	chr1	6221193	6235972	14780	-
	ENSG00000225077	chr1	6234692	6239444	4753	+
HES3	ENSG00000173673	chr1	6244179	6245578	1400	+
GPR153	ENSG00000158292	chr1	6247353	6261098	13746	-
ACOT7	ENSG00000097021	chr1	6264269	6394391	130123	-
	ENSG00000271746	chr1	6393555	6394391	837	+
HES2	ENSG00000069812	chr1	6412418	6424670	12253	-
ESPN	ENSG00000187017	chr1	6424776	6461367	36592	+
	ENSG00000231868	chr1	6443034	6447006	3973	-
TNFRSF25	ENSG00000215788	chr1	6460786	6466195	5410	-
PLEKHG5	ENSG00000171680	chr1	6466092	6520061	53970	-
NOL9	ENSG00000162408	chr1	6521347	6554513	33167	-
TAS1R1	ENSG00000173662	chr1	6555307	6579755	24449	+
ZBTB48	ENSG00000204859	chr1	6579994	6589280	9287	+
KLHL21	ENSG00000162413	chr1	6590724	6614607	23884	-
PHF13	ENSG00000116273	chr1	6613731	6624030	10300	+
THAP3	ENSG00000041988	chr1	6624866	6635586	10721	+
DNAJC11	ENSG00000007923	chr1	6634168	6701924	67757	-
	ENSG00000228750	chr1	6724637	6730012	5376	+
	ENSG00000284744	chr1	6767954	6770038	2085	+
	ENSG00000237436	chr1	6783892	6784843	952	-
CAMTA1	ENSG00000171735	chr1	6785454	7769706	984253	+
	ENSG00000237365	chr1	7008376	7014279	5904	-
	ENSG00000237402	chr1	7368942	7370270	1329	+
CAMTA1-AS2	ENSG00000237728	chr1	7382487	7389754	7268	-
	ENSG00000225126	chr1	7441096	7441554	459	-
	ENSG00000270171	chr1	7693124	7694844	1721	-
	ENSG00000270035	chr1	7698303	7698872	570	-
	ENSG00000269978	chr1	7700704	7700970	267	-
VAMP3	ENSG00000049245	chr1	7771296	7781432	10137	+
	ENSG00000269925	chr1	7776383	7776775	393	+
PER3	ENSG00000049246	chr1	7784320	7845177	60858	+
	ENSG00000236266	chr1	7810242	7827342	17101	-
UTS2	ENSG00000049247	chr1	7843083	7853512	10430	-
TNFRSF9	ENSG00000049249	chr1	7915894	7943165	27272	-
PARK7	ENSG00000116288	chr1	7954291	7985505	31215	+
	ENSG00000284747	chr1	7991134	8005312	14179	+
	ENSG00000284716	chr1	7998187	7999934	1748	-
ERRFI1	ENSG00000116285	chr1	8004404	8026309	21906	-
	ENSG00000238290	chr1	8026738	8122702	95965	+
LINC01714	ENSG00000227634	chr1	8201518	8215210	13693	+
	ENSG00000233645	chr1	8218190	8220529	2340	-
SLC45A1	ENSG00000162426	chr1	8317826	8344167	26342	+
RERE	ENSG00000142599	chr1	8352397	8848921	496525	-
	ENSG00000232912	chr1	8424645	8435013	10369	+
	ENSG00000228423	chr1	8805860	8807051	1192	-
ENO1	ENSG00000074800	chr1	8861000	8879190	18191	-
ENO1-AS1	ENSG00000230679	chr1	8878835	8879894	1060	+
CA6	ENSG00000131686	chr1	8945867	8975092	29226	+
SLC2A7	ENSG00000197241	chr1	9003300	9026345	23046	-
SLC2A5	ENSG00000142583	chr1	9035106	9088478	53373	-
GPR157	ENSG00000180758	chr1	9100305	9129102	28798	-
MIR34AHG	ENSG00000228526	chr1	9148011	9198906	50896	-
LNCTAM34A	ENSG00000234546	chr1	9182004	9196284	14281	+
H6PD	ENSG00000049239	chr1	9234775	9271337	36563	+
SPSB1	ENSG00000171621	chr1	9292894	9369532	76639	+
	ENSG00000284652	chr1	9421098	9422862	1765	-
LINC02606	ENSG00000284693	chr1	9425094	9440564	15471	-
	ENSG00000235263	chr1	9501092	9503471	2380	-
SLC25A33	ENSG00000171612	chr1	9539465	9585173	45709	+
TMEM201	ENSG00000188807	chr1	9588911	9614877	25967	+
PIK3CD	ENSG00000171608	chr1	9651731	9729114	77384	+
PIK3CD-AS1	ENSG00000179840	chr1	9652610	9654586	1977	-
PIK3CD-AS2	ENSG00000231789	chr1	9672426	9687555	15130	-
CLSTN1	ENSG00000171603	chr1	9729026	9824526	95501	-
CTNNBIP1	ENSG00000178585	chr1	9848276	9910336	62061	-
	ENSG00000223989	chr1	9848318	9850154	1837	+
	ENSG00000285701	chr1	9900614	9908034	7421	+
LZIC	ENSG00000162441	chr1	9922113	9943407	21295	-
	ENSG00000228150	chr1	9942923	9949974	7052	+
NMNAT1	ENSG00000173614	chr1	9943428	9985501	42074	+
	ENSG00000241326	chr1	9983141	9984568	1428	+
RBP7	ENSG00000162444	chr1	9997206	10016021	18816	+
UBE4B	ENSG00000130939	chr1	10032832	10181239	148408	+
KIF1B	ENSG00000054523	chr1	10210805	10381603	170799	+
	ENSG00000284735	chr1	10381906	10387150	5245	-
	ENSG00000284642	chr1	10395416	10397432	2017	+
PGD	ENSG00000142657	chr1	10398592	10420511	21920	+
	ENSG00000271989	chr1	10429881	10430677	797	-
CENPS	ENSG00000175279	chr1	10430433	10442808	12376	+
CORT	ENSG00000241563	chr1	10449719	10451902	2184	+
DFFA	ENSG00000160049	chr1	10456522	10472529	16008	-
	ENSG00000203469	chr1	10458555	10459338	784	+
PEX14	ENSG00000142655	chr1	10472288	10630758	158471	+
	ENSG00000287727	chr1	10612222	10616452	4231	-
CASZ1	ENSG00000130940	chr1	10636604	10796650	160047	-
	ENSG00000272078	chr1	10639241	10654333	15093	+
C1orf127	ENSG00000175262	chr1	10946471	10982037	35567	-
TARDBP	ENSG00000120948	chr1	11012344	11026420	14077	+
MASP2	ENSG00000009724	chr1	11026523	11047239	20717	-
	ENSG00000271895	chr1	11029659	11030528	870	+
SRM	ENSG00000116649	chr1	11054584	11060020	5437	-
EXOSC10	ENSG00000171824	chr1	11066618	11099869	33252	-
	ENSG00000226849	chr1	11068471	11073097	4627	+
EXOSC10-AS1	ENSG00000230337	chr1	11099675	11102100	2426	+
MTOR	ENSG00000198793	chr1	11106535	11262551	156017	-
MTOR-AS1	ENSG00000225602	chr1	11143898	11149537	5640	+
ANGPTL7	ENSG00000171819	chr1	11189355	11195981	6627	+
UBIAD1	ENSG00000120942	chr1	11273206	11296049	22844	+
	ENSG00000284646	chr1	11311734	11319093	7360	-
DISP3	ENSG00000204624	chr1	11479155	11537551	58397	+
	ENSG00000285833	chr1	11500803	11502016	1214	-
LINC01647	ENSG00000235643	chr1	11609468	11613358	3891	+
	ENSG00000284708	chr1	11623558	11643416	19859	+
FBXO2	ENSG00000116661	chr1	11637018	11655785	18768	-
FBXO44	ENSG00000132879	chr1	11654375	11663327	8953	+
FBXO6	ENSG00000116663	chr1	11664200	11674354	10155	+
MAD2L2	ENSG00000116670	chr1	11674480	11691650	17171	-
DRAXIN	ENSG00000162490	chr1	11691710	11725857	34148	+
AGTRAP	ENSG00000177674	chr1	11736084	11754802	18719	+
C1orf167	ENSG00000215910	chr1	11761787	11789585	27799	+
C1orf167-AS1	ENSG00000177553	chr1	11777077	11779619	2543	-
MTHFR	ENSG00000177000	chr1	11785723	11806920	21198	-
CLCN6	ENSG00000011021	chr1	11806096	11848079	41984	+
NPPA	ENSG00000175206	chr1	11845709	11848345	2637	-
NPPB	ENSG00000120937	chr1	11857464	11858945	1482	-
	ENSG00000285646	chr1	11907940	11914298	6359	+
KIAA2013	ENSG00000116685	chr1	11919591	11926428	6838	-
PLOD1	ENSG00000083444	chr1	11934205	11975538	41334	+
	ENSG00000287384	chr1	11979533	11980127	595	-
MFN2	ENSG00000116688	chr1	11980181	12013514	33334	+
MIIP	ENSG00000116691	chr1	12019466	12032045	12580	+
TNFRSF8	ENSG00000120949	chr1	12063303	12144207	80905	+
	ENSG00000285604	chr1	12088441	12092264	3824	-
TNFRSF1B	ENSG00000028137	chr1	12166991	12209228	42238	+
VPS13D	ENSG00000048707	chr1	12230030	12512047	282018	+
	ENSG00000229484	chr1	12527724	12528420	697	+
DHRS3	ENSG00000162496	chr1	12567910	12618210	50301	-
	ENSG00000272482	chr1	12618900	12619244	345	-
AADACL4	ENSG00000204518	chr1	12644547	12667086	22540	+
AADACL3	ENSG00000188984	chr1	12716110	12728760	12651	+
CFAP107	ENSG00000157330	chr1	12746200	12763699	17500	+
PRAMEF12	ENSG00000116726	chr1	12774841	12777906	3066	+
PRAMEF1	ENSG00000116721	chr1	12791397	12796628	5232	+
LINC01784	ENSG00000228338	chr1	12822686	12823159	474	-
PRAMEF11	ENSG00000239810	chr1	12824605	12831410	6806	-
HNRNPCL1	ENSG00000179172	chr1	12847408	12848725	1318	-
PRAMEF2	ENSG00000120952	chr1	12857086	12861909	4824	+
PRAMEF4	ENSG00000243073	chr1	12879212	12886201	6990	-
PRAMEF10	ENSG00000187545	chr1	12892896	12898270	5375	-
PRAMEF7	ENSG00000204510	chr1	12916610	12920482	3873	+
PRAMEF6	ENSG00000232423	chr1	12938472	12947580	9109	-
PRAMEF27	ENSG00000274764	chr1	13049476	13056491	7016	-
HNRNPCL3	ENSG00000277058	chr1	13060869	13062229	1361	+
PRAMEF25	ENSG00000229571	chr1	13068677	13077884	9208	+
PRAMEF26	ENSG00000229571	chr1	13068677	13077884	9208	+
HNRNPCL2	ENSG00000275774	chr1	13115488	13116854	1367	-
	ENSG00000233336	chr1	13146981	13147460	480	-
PRAMEF26	ENSG00000280267	chr1	13148905	13155961	7057	-
HNRNPCL4	ENSG00000179412	chr1	13164586	13165467	882	-
PRAMEF9	ENSG00000204505	chr1	13172455	13179464	7010	+
PRAMEF13	ENSG00000279169	chr1	13196188	13201409	5222	-
PRAMEF18	ENSG00000279804	chr1	13222705	13226106	3402	-
PRAMEF5	ENSG00000270601	chr1	13254212	13263314	9103	+
PRAMEF8	ENSG00000182330	chr1	13281035	13285174	4140	-
PRAMEF33	ENSG00000237700	chr1	13303539	13308907	5369	+
PRAMEF15	ENSG00000204501	chr1	13315581	13322598	7018	+
	ENSG00000228229	chr1	13324039	13324518	480	+
PRAMEF14	ENSG00000204481	chr1	13341892	13347134	5243	-
PRAMEF19	ENSG00000204480	chr1	13369067	13371900	2834	-
PRAMEF17	ENSG00000204479	chr1	13389632	13392629	2998	+
PRAMEF20	ENSG00000204478	chr1	13410450	13421328	10879	+
LRRC38	ENSG00000162494	chr1	13474973	13514003	39031	-
LOC107984918	ENSG00000259961	chr1	13513220	13516270	3051	+
PDPN	ENSG00000162493	chr1	13583465	13617957	34493	+
	ENSG00000237445	chr1	13657311	13659910	2600	-
PRDM2	ENSG00000116731	chr1	13700198	13825079	124882	+
KAZN	ENSG00000189337	chr1	13892792	15118043	1225252	+
	ENSG00000231606	chr1	14221887	14304445	82559	-
KAZN-AS1	ENSG00000234593	chr1	14338825	14419973	81149	-
	ENSG00000287756	chr1	14774469	14777727	3259	-
TMEM51-AS1	ENSG00000175147	chr1	15111815	15153618	41804	-
TMEM51	ENSG00000171729	chr1	15152532	15220478	67947	+
TMEM51-AS2	ENSG00000204464	chr1	15164344	15171317	6974	-
FHAD1	ENSG00000142621	chr1	15247272	15400283	153012	+
FHAD1-AS1	ENSG00000233485	chr1	15326680	15343876	17197	-
	ENSG00000236045	chr1	15334166	15335464	1299	-
	ENSG00000228140	chr1	15402979	15409433	6455	-
EFHD2	ENSG00000142634	chr1	15409888	15430339	20452	+
CTRC	ENSG00000162438	chr1	15438442	15449242	10801	+
CELA2A	ENSG00000142615	chr1	15456728	15472091	15364	+
CELA2B	ENSG00000215704	chr1	15465909	15491395	25487	+
CASP9	ENSG00000132906	chr1	15490832	15526534	35703	-
DNAJC16	ENSG00000116138	chr1	15526813	15592379	65567	+
	ENSG00000272510	chr1	15565611	15565956	346	-
AGMAT	ENSG00000116771	chr1	15571699	15585051	13353	-
	ENSG00000237301	chr1	15586136	15603626	17491	-
DDI2	ENSG00000197312	chr1	15617458	15669044	51587	+
RSC1A1	ENSG00000215695	chr1	15659869	15661722	1854	+
	ENSG00000271742	chr1	15682873	15683128	256	-
PLEKHM2	ENSG00000116786	chr1	15684320	15734769	50450	+
	ENSG00000237938	chr1	15720312	15736896	16585	-
SLC25A34	ENSG00000162461	chr1	15736258	15741392	5135	+
SLC25A34-AS1	ENSG00000224459	chr1	15740051	15749896	9846	-
TMEM82	ENSG00000162460	chr1	15742499	15747982	5484	+
FBLIM1	ENSG00000162458	chr1	15756607	15786594	29988	+
UQCRHL	ENSG00000233954	chr1	15807169	15809348	2180	-
SPEN-AS1	ENSG00000179743	chr1	15834474	15848147	13674	-
SPEN	ENSG00000065526	chr1	15847707	15940456	92750	+
ZBTB17	ENSG00000116809	chr1	15941869	15976132	34264	-
SRARP	ENSG00000183888	chr1	16004236	16008807	4572	+
	ENSG00000233078	chr1	16006160	16006671	512	-
HSPB7	ENSG00000173641	chr1	16014028	16019594	5567	-
CLCNKA	ENSG00000186510	chr1	16018875	16034050	15176	+
CLCNKB	ENSG00000184908	chr1	16043736	16057308	13573	+
FAM131C	ENSG00000185519	chr1	16057769	16073651	15883	-
EPHA2	ENSG00000142627	chr1	16124337	16156069	31733	-
	ENSG00000227959	chr1	16155211	16157329	2119	+
	ENSG00000224621	chr1	16159266	16161883	2618	+
	ENSG00000234166	chr1	16197854	16198357	504	+
ARHGEF19	ENSG00000142632	chr1	16197854	16212652	14799	-
	ENSG00000288398	chr1	16228674	16231335	2662	-
CPLANE2	ENSG00000132881	chr1	16231692	16237183	5492	-
FBXO42	ENSG00000037637	chr1	16246840	16352480	105641	-
SZRD1	ENSG00000055070	chr1	16352575	16398145	45571	+
SPATA21	ENSG00000187144	chr1	16387117	16437424	50308	-
NECAP2	ENSG00000157191	chr1	16440721	16460078	19358	+
LINC01772	ENSG00000226029	chr1	16460948	16468481	7534	+
	ENSG00000261135	chr1	16514645	16515754	1110	+
	ENSG00000224174	chr1	16520694	16521796	1103	+
LINC01783	ENSG00000233421	chr1	16533886	16536172	2287	-
NBPF1	ENSG00000219481	chr1	16562319	16613562	51244	-
	ENSG00000271732	chr1	16617391	16617729	339	+
	ENSG00000282143	chr1	16656879	16667524	10646	+
	ENSG00000279151	chr1	16701546	16705594	4049	+
	ENSG00000282740	chr1	16739938	16750589	10652	-
CROCC	ENSG00000058453	chr1	16740273	16972964	232692	+
	ENSG00000223643	chr1	16851257	16853129	1873	-
LOC112267871	ENSG00000228549	chr1	16870945	16883659	12715	+
LOC105376805	ENSG00000238142	chr1	16887577	16889706	2130	-
	ENSG00000272426	chr1	16904339	16904776	438	-
MFAP2	ENSG00000117122	chr1	16974502	16980632	6131	-
LOC105376806	ENSG00000286898	chr1	16976302	16977792	1491	+
	ENSG00000226526	chr1	16978926	17005091	26166	+
ATP13A2	ENSG00000159363	chr1	16985958	17011928	25971	-
SDHB	ENSG00000117118	chr1	17018722	17054170	35449	-
PADI2	ENSG00000117115	chr1	17066761	17119451	52691	-
LINC02783	ENSG00000204362	chr1	17189783	17197617	7835	+
	ENSG00000282843	chr1	17193232	17201733	8502	-
PADI1	ENSG00000142623	chr1	17205128	17246007	40880	+
PADI3	ENSG00000142619	chr1	17249098	17284233	35136	+
PADI4	ENSG00000159339	chr1	17308195	17364004	55810	+
PADI6	ENSG00000276747	chr1	17372196	17401699	29504	+
RCC2-AS1	ENSG00000227751	chr1	17406760	17407382	623	+
RCC2	ENSG00000179051	chr1	17406760	17439677	32918	-
ARHGEF10L	ENSG00000074964	chr1	17539698	17697874	158177	+
LINC02810	ENSG00000236648	chr1	17717625	17749978	32354	+
ACTL8	ENSG00000117148	chr1	17755333	17827063	71731	+
	ENSG00000284653	chr1	18015712	18045612	29901	+
LINC01654	ENSG00000261781	chr1	18065657	18074412	8756	+
IGSF21	ENSG00000117154	chr1	18107798	18378483	270686	+
	ENSG00000230035	chr1	18166929	18179346	12418	-
	ENSG00000225387	chr1	18385829	18388514	2686	+
KLHDC7A	ENSG00000179023	chr1	18480982	18486126	5145	+
PAX7	ENSG00000009709	chr1	18630846	18748866	118021	+
TAS1R2	ENSG00000179002	chr1	18839599	18859682	20084	-
ALDH4A1	ENSG00000159423	chr1	18871430	18902724	31295	-
IFFO2	ENSG00000169991	chr1	18904280	18956676	52397	-
	ENSG00000272084	chr1	19072110	19075511	3402	-
UBR4	ENSG00000127481	chr1	19074510	19210266	135757	-
EMC1-AS1	ENSG00000230424	chr1	19210501	19240704	30204	+
EMC1	ENSG00000127463	chr1	19215660	19251527	35868	-
MRTO4	ENSG00000053372	chr1	19251805	19260128	8324	+
AKR7A3	ENSG00000162482	chr1	19282573	19288770	6198	-
AKR7A2	ENSG00000053371	chr1	19303965	19312146	8182	-
SLC66A1	ENSG00000040487	chr1	19312326	19329300	16975	+
CAPZB	ENSG00000077549	chr1	19338775	19485539	146765	-
MICOS10	ENSG00000173436	chr1	19484403	19629821	145419	+
MICOS10-DT	ENSG00000235185	chr1	19591802	19596832	5031	-
NBL1	ENSG00000158747	chr1	19596979	19658456	61478	+
MICOS10-NBL1	ENSG00000158747	chr1	19596979	19658456	61478	+
HTR6	ENSG00000158748	chr1	19664875	19680966	16092	+
TMCO4	ENSG00000162542	chr1	19682213	19799945	117733	-
RNF186	ENSG00000178828	chr1	19814029	19815283	1255	-
	ENSG00000235434	chr1	19814367	19819502	5136	+
OTUD3	ENSG00000169914	chr1	19882395	19912945	30551	+
PLA2G2E	ENSG00000188784	chr1	19920009	19923617	3609	-
PLA2G2A	ENSG00000188257	chr1	19975431	19980416	4986	-
PLA2G5	ENSG00000127472	chr1	20028179	20091911	63733	+
PLA2G2D	ENSG00000117215	chr1	20111939	20119566	7628	-
PLA2G2F	ENSG00000158786	chr1	20139326	20150386	11061	+
LOC117779438	ENSG00000227066	chr1	20154171	20160568	6398	+
